Estación,fecha_hora,weekday,Hora,latitud,longitud,ruido_pred
Portal del Norte,2020-01-02 01:00:00,4,1,4.75447203,-74.04596522,46.343762916905256
Portal del Norte,2020-01-02 02:00:00,4,2,4.75447203,-74.04596522,46.04171383085412
Portal del Norte,2020-01-02 03:00:00,4,3,4.75447203,-74.04596522,47.41557100883363
Portal del Norte,2020-01-02 04:00:00,4,4,4.75447203,-74.04596522,53.38337138135964
Portal del Norte,2020-01-02 05:00:00,4,5,4.75447203,-74.04596522,57.00599003483664
Portal del Norte,2020-01-02 06:00:00,4,6,4.75447203,-74.04596522,58.15076551972588
Portal del Norte,2020-01-02 07:00:00,4,7,4.75447203,-74.04596522,58.095620914020145
Portal del Norte,2020-01-02 08:00:00,4,8,4.75447203,-74.04596522,57.76409705281846
Portal del Norte,2020-01-02 09:00:00,4,9,4.75447203,-74.04596522,57.42609280814718
Portal del Norte,2020-01-02 10:00:00,4,10,4.75447203,-74.04596522,57.485080131316245
Portal del Norte,2020-01-02 11:00:00,4,11,4.75447203,-74.04596522,57.49484077504004
Portal del Norte,2020-01-02 12:00:00,4,12,4.75447203,-74.04596522,57.5655045294434
Portal del Norte,2020-01-02 13:00:00,4,13,4.75447203,-74.04596522,57.78528400006244
Portal del Norte,2020-01-02 14:00:00,4,14,4.75447203,-74.04596522,57.8013732974718
Portal del Norte,2020-01-02 15:00:00,4,15,4.75447203,-74.04596522,57.752162398242724
Portal del Norte,2020-01-02 16:00:00,4,16,4.75447203,-74.04596522,57.68636628486186
Portal del Norte,2020-01-02 17:00:00,4,17,4.75447203,-74.04596522,57.553005168014245
Portal del Norte,2020-01-02 18:00:00,4,18,4.75447203,-74.04596522,57.083619457614205
Portal del Norte,2020-01-02 19:00:00,4,19,4.75447203,-74.04596522,56.78199730236063
Portal del Norte,2020-01-02 20:00:00,4,20,4.75447203,-74.04596522,56.3949306006379
Portal del Norte,2020-01-02 21:00:00,4,21,4.75447203,-74.04596522,55.693341382606846
Portal del Norte,2020-01-02 22:00:00,4,22,4.75447203,-74.04596522,54.60110937364879
Portal del Norte,2020-01-02 23:00:00,4,23,4.75447203,-74.04596522,52.728214523624985
Portal del Norte,2020-01-03 00:00:00,5,0,4.75447203,-74.04596522,48.65905085545672
Portal del Norte,2020-01-03 01:00:00,5,1,4.75447203,-74.04596522,47.42567359010717
