Estación;latitude;longitude;Variable;Hora;Valor_max;Valor_mean;Valor_min
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;19;86.8;53.2415584415584;9.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;20;86.2;52.132539682539665;10.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;21;86.5;50.581322751322695;8.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;22;85.3;48.170701298701324;7.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;23;83.6;44.05168367346944;6.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;0;74.6;51.84620320855623;16.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;1;72.6;49.73189573459718;6.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;2;72.0;50.79951923076921;15.9
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;3;71.7;52.79642094017085;16.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;4;74.0;56.31736111111119;20.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;5;76.5;59.710363247863306;23.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;6;76.3;60.55122863247858;23.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;7;76.7;60.331372549019655;21.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;8;77.3;60.19432404540768;21.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;9;76.0;59.82449290060844;21.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;10;77.6;59.76754563894536;21.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;11;76.4;60.127941176470564;21.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;12;80.5;59.951419878296136;23.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;13;76.1;60.26748663101611;23.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;14;76.5;60.117647058823486;22.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;15;77.9;60.22379679144376;22.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;16;76.1;60.114285714285735;22.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;17;75.8;59.84005347593588;22.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;18;76.6;59.38545168067224;22.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;19;76.1;58.503101604278044;9.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;20;75.2;58.28774509803914;21.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;21;77.1;57.58093681917211;20.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;22;74.9;56.40245989304816;20.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;23;76.7;54.677731092437;19.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;0;119.7;73.35574025974017;27.6
